airplane_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.9398932059325759,0.12021358813484817,0.05410148301358616,0.0026618416309212105,0.13859512650259037,0.12910519157796266,247,9772600
airplane_cropped_2,0.9178304582058852,0.1643390835882294,0.06792330536398769,0.004369835665236256,0.11058432325474211,0.12715853356228832,247,101731600
airplane_cropped_3,0.9555203154478598,0.08895936910428047,0.03972550787417769,0.001445955718697983,0.10038489508836322,0.13188289149734717,247,9590400
airplane_cropped_4,0.9644875779567423,0.07102484408651542,0.030938645615350292,0.0008608868575313369,0.05029390074615628,0.13056762763177676,247,9306300
airplane_cropped_5,0.9485347594506455,0.10293048109870878,0.05406230643637576,0.0025781226207700477,0.1464627272943343,0.12975147679338406,247,10264200
ball_cropped_1,0.8391733847994276,0.321653230401145,0.13438326819551175,0.021189787311484104,0.2945462976093424,0.13525346548428147,247,9546200
ball_cropped_2,0.7297828948840459,0.5404342102319082,0.2771897500665311,0.05658176063949197,0.9976425500304666,0.14155314195198182,247,11164900
ball_cropped_3,0.844014228778545,0.31197154244291,0.14170450489940198,0.01699695749771733,0.5242011055660617,0.13072675921929466,247,12521600
ball_cropped_4,0.8242142275343376,0.3515715449313249,0.15215551612017064,0.019995739103225916,0.4315363266124342,0.12991809826789552,247,10547500
ball_cropped_5,0.7521470655558733,0.4957058688882532,0.26713332297078446,0.047113136446294106,0.8760959012621408,0.13926748677474465,247,11745100
car_cropped_1,0.9221145891133853,0.15577082177322935,0.06434415656867717,0.0038250784755388093,0.1848767362028437,0.13128530966805493,247,8245800
car_cropped_2,0.9175438556132206,0.16491228877355896,0.07006145777149562,0.004836235155791457,0.15879172952025544,0.12787212323395228,247,8473100
car_cropped_3,0.9343177486029576,0.13136450279408488,0.053447410304336716,0.0028504690142897734,0.11399389485173787,0.12974411733615282,247,124771900
car_cropped_4,0.9193355729654124,0.1613288540691753,0.07069719880377581,0.004813688885131897,0.1660208365159384,0.12774601126122775,247,9555100
car_cropped_5,0.9139329952167944,0.1721340095664112,0.07588868563437774,0.005554651044496641,0.17524341001341726,0.12755840284128778,247,8510200
cat_cropped_1,0.9295233816952992,0.1409532366094013,0.06066665923836041,0.0035875063929624042,0.09974589043268202,0.12697195213692844,247,11687200
cat_cropped_2,0.9215584470927737,0.1568831058144528,0.0678057980209261,0.0045757513175898115,0.15263900518064283,0.12696424059950442,247,12961100
cat_cropped_3,0.9149493321176838,0.17010133576463227,0.06460590406844974,0.004192502788273035,0.11669654203633835,0.12708664397082187,247,11555800
cat_cropped_4,0.8821594402700257,0.2356811194599484,0.10155818290999181,0.009357539911113754,0.2956287559222548,0.12852100350086665,247,10595300
cat_cropped_5,0.8765155266351494,0.24696894672970116,0.0937072277822465,0.00911617740797549,0.25172524804537943,0.1260960979897329,247,12049700
dolphin_cropped_1,0.91276940303558,0.17446119392883996,0.07362011961262971,0.0054295501526954205,0.14422293118736695,0.12742027770284708,247,10051600
dolphin_cropped_2,0.9065246913940294,0.18695061721194123,0.07885326403934657,0.005698097309596326,0.36125903454850583,0.13187632174939762,247,9840200
dolphin_cropped_3,0.8477406504939198,0.30451869901216055,0.16721315729020234,0.018145930050487834,0.6774573940658939,0.13457925938673826,247,9625400
dolphin_cropped_4,0.8924835852786368,0.21503282944272623,0.09416249088541029,0.008674384713930505,0.21873299922087147,0.12839972612944087,247,9544700
dolphin_cropped_5,0.875371188412398,0.24925762317520384,0.1336616663065427,0.012870676786297703,0.5012129073281218,0.1329706702826421,247,11395300
face_cropped_1,0.8969099120105268,0.20618017597894614,0.09084523252752671,0.00835248200765677,0.2345113897437473,0.12662246353512774,247,12579900
face_cropped_2,0.8873592851898859,0.2252814296202279,0.0959707296568237,0.00954349205797574,0.22979040295639813,0.12640413503086234,247,19194800
face_cropped_3,0.8843596504464959,0.23128069910700816,0.09907043418665894,0.010054921254105356,0.2373984999551847,0.12723989379254338,247,10506900
face_cropped_4,0.8864831283014908,0.22703374339701843,0.09721152274978924,0.009668124759363966,0.26954392372593705,0.1269136692441355,247,12549900
face_cropped_5,0.8880023032506759,0.22399539349864844,0.09562469271644435,0.009075203816110275,0.1985625632213473,0.12659454735199513,247,13526200
lotus_cropped_1,0.8339156755721929,0.33216864885561403,0.14821053077608354,0.019527964483426356,0.43546331818544637,0.12875818343087883,247,10059500
lotus_cropped_2,0.8888629301123967,0.22227413977520646,0.09780479791602716,0.009314406682465274,0.26552440829635426,0.1281024994072916,247,9522400
lotus_cropped_3,0.7765581756986655,0.4468836486026688,0.24507879231660223,0.038732900379544445,1.0622094846814751,0.13486952465304658,247,11583000
lotus_cropped_4,0.8580123542805268,0.28397529143894634,0.1307704527976342,0.016907522530525507,0.3718373411928142,0.12690727474857108,247,9586000
lotus_cropped_5,0.8750934189554546,0.2498131620890907,0.10053285089442363,0.00938535256750972,0.37105371394690506,0.13006396025354441,247,14091000
pickles_cropped_1,0.5844017295290406,0.8311965409419189,0.44966246345835165,0.11329522922537878,1.700312702814228,0.14449972113314521,247,308355900
pickles_cropped_2,0.6471819508655401,0.7056360982689198,0.38512806163510493,0.08604780675918354,1.4747739079025866,0.14160640712419414,247,174202200
pickles_cropped_3,0.6418133940468357,0.7163732119063286,0.3897236312045326,0.08757134428687839,1.4636680659022216,0.14247718258335323,247,369927000
pickles_cropped_4,0.6627581140859404,0.674483771828119,0.3674768336845588,0.0781178972541663,1.4072219814068854,0.14144105289974168,247,267971400
pickles_cropped_5,0.6295578110093845,0.7408843779812312,0.4041362978008133,0.09556900190643954,1.4887155571088038,0.14265814161602833,247,275159500
