pickles_querry (5477900),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.45220087473976406,1.0955982505204718,0.5862298248144552,0.21297013657008623,2.319655536934228,0.29802832407278895,247,5523100
airplane_2,0.3835027938243192,1.2329944123513616,0.6601886563025997,0.27260408309340034,2.577893182009973,0.2391794107115459,247,6591000
airplane_3,0.4751226692652216,1.0497546614695568,0.5626170783678769,0.19253664608730572,2.224349867558203,0.3182850507404825,247,5584800
airplane_4,0.440151361852519,1.119697276294962,0.5998684695100378,0.2204727774937654,2.363346887533432,0.28811469809098855,247,5971600
airplane_5,0.5574543969873664,0.8850912060252671,0.47414752915103975,0.14213736212684625,1.8995349353741495,0.3883820478389213,247,4963400
ball_1,0.32721457407407406,1.3455708518518519,0.723281460775549,0.3412037982229009,2.966742796296296,0.19026953454074078,247,5996100
ball_2,0.744965787037037,0.5100684259259259,0.27992571193839677,0.06929595457180408,1.1149798333333334,0.5542320140604939,247,4998500
ball_3,0.37726835388127855,1.245463292237443,0.6683486028138637,0.2764389990005501,2.565113166666667,0.23417581580669714,247,6999800
ball_4,0.3422516111111111,1.3154967777777777,0.7041217675740261,0.3161061853198883,2.7826094629629625,0.2037165957074074,247,6000200
ball_5,0.6229182777777778,0.7541634444444445,0.40722796149361773,0.11062693781676947,1.7103027091503267,0.44433982616666673,247,7000300
car_1,0.3520169805414552,1.2959660389170895,0.6966201052952372,0.2939886399216164,2.711187616751269,0.21399472048223356,247,4999700
car_2,0.2966024289340101,1.4067951421319798,0.7535352266284309,0.3640222907234811,2.8978712038917087,0.16588282272983643,247,6012100
car_3,0.2857056438240271,1.4285887123519458,0.7672284498874753,0.3794649257054012,2.8884295795262265,0.15679610942047378,247,5007000
car_4,0.2975161345177665,1.404967730964467,0.7527825347901291,0.370532378697555,3.0633872783417933,0.16568468882402712,247,5999100
car_5,0.2833198570219966,1.4333602859560068,0.7675251599193013,0.3890211849492305,3.036923657360406,0.1536975780640158,247,8522600
cat_1,0.26257312411347516,1.4748537517730496,0.7897953876089799,0.41095812689130423,2.886701819148936,0.13712727696690308,247,7513700
cat_2,0.2750086875792142,1.4499826248415715,0.7758856835135045,0.403110127427906,3.063224700253485,0.14627153218314326,247,6996700
cat_3,0.2925489084084084,1.4149021831831832,0.7569958724976305,0.37157927225721743,2.874767821321321,0.1619735489764765,247,5999700
cat_4,0.32992584031413613,1.3401483193717278,0.7195476890758999,0.3363572373775978,2.962844405759162,0.1925507839019779,247,4996100
cat_5,0.267303462962963,1.4653930740740742,0.785139309664263,0.40398423497624575,2.831276129629629,0.1410555664246914,247,5002100
dolphin_1,0.2888425484171322,1.4223149031657356,0.7620377973221371,0.3851208971505715,2.9536234087523274,0.15802317159062698,247,5000000
dolphin_2,0.3224113333333333,1.3551773333333332,0.7304482627095711,0.3348083280532616,2.7196756666666664,0.18785655068229168,247,4001400
dolphin_3,0.5604671998341626,0.8790656003316749,0.47189820225902873,0.14198859968988883,1.9099390373134324,0.39082362179519076,247,9524100
dolphin_4,0.41906866091954026,1.1618626781609196,0.6261562460797224,0.2497378622740662,2.5212338563218393,0.2687713392037836,247,9520200
dolphin_5,0.44949815379113023,1.1010036924177395,0.5895408767137241,0.21402202640506668,2.3553134527896997,0.2958549973366714,247,5520000
face_1,0.31003666398332397,1.379926672033352,0.740497074743919,0.35563687401537974,2.9771991556891826,0.17617358992630822,247,12060000
face_2,0.30551045687304357,1.3889790862539129,0.7459854239348885,0.3547538907614421,2.942199599320327,0.1732344424866976,247,7184700
face_3,0.3370042839761555,1.3259914320476889,0.7146898135121984,0.3173548036748336,2.859942118132479,0.2002266672327506,247,7163800
face_4,0.31423283524797724,1.3715343295040454,0.7348992559615183,0.34532912012297,2.8792592972330304,0.18031714880283287,247,8007700
face_5,0.30124062210012215,1.3975187557997557,0.7516773103815363,0.3646624057599877,3.0307908223443225,0.16915190990944243,247,8517000
lotus_1,0.33206626419213975,1.3358674716157204,0.7212257833339922,0.3370305368818517,3.031925393740902,0.19430107193716648,247,7523400
lotus_2,0.41027995578231297,1.1794400884353742,0.6323559417476319,0.24425953886482335,2.528990717687075,0.2626371054946146,247,6997000
lotus_3,0.7776377677595627,0.4447244644808743,0.238401306747992,0.04603060326026031,0.9022443142076502,0.5767392668226321,247,8515300
lotus_4,0.32628525431606903,1.347429491367862,0.7238375779927673,0.3408485946944031,2.9786191427622843,0.18944194948207171,247,10115500
lotus_5,0.3516461689342404,1.2967076621315192,0.6958026362179617,0.29279258990836515,2.5985598786848074,0.21355361994992444,247,14089200
pickles_1,0.9857856210740745,0.02842875785185088,0.015798320280640016,0.0002852611650635054,0.04669924393557196,0.7553664960211595,247,924078300
pickles_2,0.9962386666666666,0.007522666666666665,0.003363439375186589,0.00011941958156480077,0.006648750000000425,0.767203079761146,247,1060904300
pickles_3,0.9206885549415182,0.15862289011696334,0.08933795456761308,0.007087498856654791,0.28572944778435927,0.7014989988179146,247,686826200
pickles_4,0.9356434687497887,0.1287130625004225,0.0712729148196112,0.0043278873842489424,0.23218643773046133,0.7127968701073439,247,797313500
pickles_5,0.9470202151671036,0.10595956966579273,0.059083175069204824,0.0033587403572291337,0.19521844897710197,0.7224433615504767,247,466721400
