ball_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8293549153522031,0.34129016929559397,0.06735454660502896,0.024520238844139983,8.829696178791373,0.03401961424906104,0,6179800
airplane_cropped_2,0.7624384812880769,0.47512303742384615,0.10712785718041913,0.048290645660282294,9.572509180224062,0.0312490435504771,1,7173500
airplane_cropped_3,0.8068443329592009,0.3863113340815981,0.07212641389819137,0.030901705057217666,13.358109326548364,0.03679563410610143,1,6661600
airplane_cropped_4,0.7946024923455313,0.4107950153089372,0.0871642952133064,0.03403353896418809,12.921731055106367,0.03376651584977209,1,5658200
airplane_cropped_5,0.7792921091486448,0.44141578170271034,0.08195980049733174,0.036813106422091325,12.431672561786261,0.03501783160022453,1,6032200
ball_cropped_1,0.7463361736388834,0.5073276527222333,0.1030769401865276,0.05261770758580589,32.081127116618106,0.03784566527831397,1,4499100
ball_cropped_2,0.6343114166065994,0.7313771667868012,0.21261627913775147,0.08272644428818779,11.672939687207942,0.07099994195154025,0,8795100
ball_cropped_3,0.8513896169342076,0.29722076613158505,0.06109581172142282,0.022215945224381663,8.00799119423912,0.04369723156449349,1,13891400
ball_cropped_4,0.8393371941473842,0.32132561170523144,0.06247419355157136,0.020927027787073553,11.201298110943714,0.03802314749634996,1,5018100
ball_cropped_5,0.7633821305539755,0.47323573889204895,0.17772271050086222,0.04020769030797684,18.167197703775155,0.06795203059434858,0,12044300
car_cropped_1,0.8237589680828735,0.3524820638342529,0.06174275007119853,0.027784404875491366,9.989840810664859,0.03611674880986679,1,2507300
car_cropped_2,0.7265391304886655,0.5469217390226688,0.09073497475509729,0.05920883514194686,9.742552168331903,0.0355893963866039,1,1999900
car_cropped_3,0.751637190711193,0.496725618577614,0.08720277012358636,0.04689360210698017,9.396254290287619,0.034351291789229806,1,1577800
car_cropped_4,0.7738167262346969,0.45236654753060634,0.0784150487742673,0.0442420580918745,9.399978178564282,0.034250114217819774,1,3005600
car_cropped_5,0.7329408942242941,0.5341182115514117,0.08766988527746195,0.058235498993013425,9.28631909198092,0.03496471436741398,1,2568200
cat_cropped_1,0.7968422472514319,0.40631550549713646,0.09365797833682138,0.03114716220832463,6.496432121674884,0.02866380290080701,1,8591400
cat_cropped_2,0.8327148604419232,0.33457027911615345,0.08469003825756875,0.022179253545875785,8.780678122274663,0.029176244452385498,1,14703400
cat_cropped_3,0.7784019869362002,0.4431960261275998,0.09847053509941602,0.03468486953384025,6.51520425506602,0.028369639158892422,1,9166800
cat_cropped_4,0.8727569559653516,0.2544860880692965,0.047771388290651924,0.013427095333102091,5.846027615463123,0.03629062550444556,0,10012600
cat_cropped_5,0.726490283310188,0.5470194333796241,0.1140343374918917,0.05434089824317816,8.02643335118951,0.0279180025823558,1,11518100
dolphin_cropped_1,0.7434988446422888,0.5130023107154222,0.09752223486565446,0.05211775250859533,8.449530812964252,0.032844136129493814,1,5997900
dolphin_cropped_2,0.7859280569394149,0.42814388612117005,0.07974742400710695,0.04426797477096951,5.927168885304808,0.04059033387622798,1,3998800
dolphin_cropped_3,0.8174369537972582,0.3651260924054833,0.09649942318768194,0.02247971917797865,17.95855824200171,0.05410430075835504,1,6103900
dolphin_cropped_4,0.81611867518543,0.36776264962914007,0.07875458569894232,0.02645169118273899,11.364910440718537,0.03271957532612444,1,4064100
dolphin_cropped_5,0.8764385393464227,0.2471229213071544,0.06233464477045776,0.013205989588821968,9.596158112512894,0.04924689441195563,1,12072700
face_cropped_1,0.8622437178921464,0.2755125642157074,0.07463072558170841,0.016232522230516945,5.311593049546543,0.03033862325668904,1,11616000
face_cropped_2,0.8456605966679582,0.30867880666408365,0.07753816911456317,0.018839864108597976,5.801572029216351,0.030115868075013808,1,9604100
face_cropped_3,0.8344854664345557,0.3310290671308887,0.0784361900443463,0.021115510788566914,7.351762236996647,0.03043522148447108,0,9128800
face_cropped_4,0.8748027691777007,0.2503944616445984,0.06202707014843824,0.012375850372215667,4.2317347205162035,0.032296552323795,1,13193900
face_cropped_5,0.8175704566397657,0.36485908672046885,0.09099183451634053,0.02666948951614938,7.36469949026429,0.028455887586361327,1,11057500
lotus_cropped_1,0.8649322276114404,0.2701355447771191,0.052530979104111995,0.0156895664170119,3.425499629366349,0.03822690898740937,0,5921900
lotus_cropped_2,0.8771266344086608,0.2457467311826783,0.061721540822491594,0.011640896398066147,2.767217348626401,0.03252866278616406,1,4662500
lotus_cropped_3,0.7672908698324673,0.4654182603350655,0.16974756548637102,0.036907505618299606,33.48615430913636,0.06540595900975335,1,7741800
lotus_cropped_4,0.8299988290718778,0.34000234185624434,0.06985101730038583,0.021327225171405687,4.7484254117556866,0.03250427740497163,1,3183000
lotus_cropped_5,0.8122803033564366,0.3754393932871267,0.062383394053976846,0.0281671667044222,13.661883966228217,0.0376517679050612,1,16704800
pickles_cropped_1,0.5683128839160225,0.8633742321679548,0.38262361968098285,0.127065857326115,55.024813575146666,0.09793369923822666,1,862983600
pickles_cropped_2,0.6392494471016623,0.7215011057966756,0.3131916857595187,0.08897604054722169,46.88110470027941,0.08746464160941642,1,401760500
pickles_cropped_3,0.6179760262512077,0.7640479474975844,0.32236014951439523,0.09707156582587503,46.587818381416334,0.08874632658032722,1,821348100
pickles_cropped_4,0.6371243802912319,0.7257512394175362,0.29464223140877804,0.08781013302219504,43.59602379124253,0.0846672304284205,1,670169800
pickles_cropped_5,0.6047206491502611,0.7905587016994776,0.3323628246273824,0.10506131740787059,47.67617675416063,0.09013650457300354,1,672391100
