pickles_cropped_querry (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.5899645554210923,0.8200708891578156,0.352026473631127,0.1193048816679713,53.04565578415214,0.06410069205440638,0,6179800
airplane_cropped_2,0.563319358320455,0.87336128335909,0.3746158246712868,0.14487183882204274,52.582034353843085,0.05659280379518118,1,7173500
airplane_cropped_3,0.6026593450437656,0.7946813099124689,0.3380278791290408,0.11107345216032981,57.498807675300505,0.07203939976251345,1,6661600
airplane_cropped_4,0.5786625574458463,0.8426748851083075,0.3577246303142982,0.1298275406930764,56.96094353601223,0.06335594686278173,1,5658200
airplane_cropped_5,0.5773018863012604,0.8453962273974792,0.35244245701522015,0.1303764255899992,56.6571717604961,0.06604277269528719,1,6032200
ball_cropped_1,0.5463010931429919,0.9073978137140162,0.3472502766983356,0.14699330884828551,76.26391408775808,0.07264079514363125,1,4499100
ball_cropped_2,0.7456734861903113,0.5086530276193775,0.1353277739764934,0.061757256701357635,35.19875373389766,0.17422005922375905,0,8795100
ball_cropped_3,0.6713563468972805,0.657287306205439,0.2816884806051134,0.07115537297452122,36.57163319670863,0.09566346001637867,0,13891400
ball_cropped_4,0.5696103842155277,0.8607792315689446,0.33599155976154726,0.13630634371113035,55.48880016326643,0.07330357521055496,0,5018100
ball_cropped_5,0.7664168552893668,0.4671662894212666,0.13593061078999316,0.0454295227268698,26.12030434854755,0.164280225433109,0,12044300
car_cropped_1,0.6239688493706077,0.7520623012587846,0.3362807637131611,0.0987333545100933,54.16320922735668,0.07125453578103466,1,2507300
car_cropped_2,0.5866638952501003,0.8266722094997996,0.34469298584295105,0.12169785002705293,48.887922014569476,0.07007326636358764,1,1999900
car_cropped_3,0.5843866678787093,0.8312266642425814,0.35316352902951215,0.12252506235654691,51.83589310478192,0.06556529362929787,1,1577800
car_cropped_4,0.5756152988312185,0.8487694023375628,0.3527777800302184,0.12905206731275307,52.760111789412846,0.06487257251317463,1,3005600
car_cropped_5,0.5786347467228787,0.8427305065542424,0.34920543056777464,0.12925750789870893,51.219352587766515,0.0676095817904273,1,2568200
cat_cropped_1,0.5426543946878456,0.9146912106243092,0.3810886238238988,0.14960606065794044,49.6755025568342,0.05020952114962485,1,8591400
cat_cropped_2,0.5408133658005686,0.9183732683988628,0.378434421257522,0.149712109968992,52.82548475898674,0.050930219545905986,1,14703400
cat_cropped_3,0.5607180521038233,0.8785638957923534,0.38144428034551986,0.1479344353560437,47.86207789060309,0.050242072195863394,1,9166800
cat_cropped_4,0.5887011984775545,0.8225976030448909,0.33795849266781314,0.11806062580003651,50.13352966778584,0.07009778629064763,0,10012600
cat_cropped_5,0.5679468106425636,0.8641063787148725,0.38605137090821057,0.152699851833169,43.527833170784916,0.04967616655565283,1,11518100
dolphin_cropped_1,0.5530081458187497,0.8939837083625007,0.36268273742646023,0.14199209157471698,46.08479235734141,0.061604124662258515,1,5997900
dolphin_cropped_2,0.6399111555040364,0.7201776889919269,0.3086454944077225,0.09388735598197097,39.63965626854871,0.085913218484763,1,3998800
dolphin_cropped_3,0.7413792021512805,0.5172415956974388,0.21236894733894984,0.045088743541267726,26.328943810320997,0.12598416459894995,0,6103900
dolphin_cropped_4,0.5470970625613243,0.9058058748773513,0.36184345702696985,0.1495502632601572,55.397153743624685,0.06012945341356026,1,4064100
dolphin_cropped_5,0.7075640925085628,0.5848718149828744,0.2440891565111574,0.05402653407699957,34.69134393980978,0.11117401961786516,1,12072700
face_cropped_1,0.5714672373176839,0.8570655253646325,0.3684716814624731,0.13108224355663195,47.38567927467047,0.055011885236968164,0,11616000
face_cropped_2,0.5752730225414093,0.8494539549171813,0.36958402966451254,0.12972870528355496,44.18390525521564,0.05459985381804754,1,9604100
face_cropped_3,0.5773275323601171,0.8453449352797658,0.3667815957062255,0.12864455559930169,42.28509939323961,0.056021049364149055,0,9128800
face_cropped_4,0.5875359636062785,0.8249280727874431,0.35581233251925126,0.1213274065862929,44.12138363392723,0.06069310245274362,0,13193900
face_cropped_5,0.5642837773785899,0.8714324452428203,0.37982560181745884,0.13782577001844695,43.65472841355431,0.05023598006243258,1,11057500
lotus_cropped_1,0.5904476336544082,0.8191047326911834,0.33053898963792633,0.12112539234788719,47.70981976762738,0.0747527284345412,1,5921900
lotus_cropped_2,0.5762039843516316,0.8475920312967369,0.3580464732613422,0.12796973902086137,44.917207848496034,0.06010887797921689,1,4662500
lotus_cropped_3,0.7955820605425076,0.40883587891498485,0.13981420127972952,0.03106927875741691,11.052568815458601,0.15981315096402798,1,7741800
lotus_cropped_4,0.5581890374283469,0.8836219251433062,0.3601529663831056,0.1415531886508515,44.52113608431344,0.05986285951638991,1,3183000
lotus_cropped_5,0.6427041494683878,0.7145917010632242,0.31846606243794673,0.08671347382940678,30.87319979234723,0.07866137476928708,1,16704800
pickles_cropped_1,0.9004822533040284,0.19903549339194315,0.0836422392428038,0.007590957954219872,10.737311522824005,0.2574101837140842,1,862983600
pickles_cropped_2,0.9489635745873221,0.10207285082535611,0.021989003027183266,0.00304295671117753,2.6009938009316613,0.22604147889654036,0,401760500
pickles_cropped_3,0.9544586271716561,0.09108274565668789,0.023222961309239582,0.0022771705459025513,2.300316329093653,0.2302087860115577,0,821348100
pickles_cropped_4,0.9590249350618802,0.08195012987623959,0.012972024166411323,0.0024959375407192135,0.8292786707251188,0.21776419538744957,0,670169800
pickles_cropped_5,0.9382184586469153,0.12356308270616916,0.03397081388769164,0.003791059907612799,3.3886747018379473,0.2345660994717976,1,672391100
