airplane_cropped_query (39073400),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.42223373,1.1555326,0.02734462,0.49865752,10419.949852934122,0.00030621074,53782,36601800
airplane_cropped_2,0.46845064,1.0630987,0.02504492,0.4126155,9068.068687977182,0.00024806347,53475,60325500
airplane_cropped_3,0.42534834,1.1493033,0.027350262,0.45156983,4732.091933216747,0.0004714858,53342,37597200
airplane_cropped_4,0.34064648,1.318707,0.033646606,0.5913773,11814.122692504083,0.00014433585,54165,38272800
airplane_cropped_5,0.42106593,1.1578681,0.027763411,0.4510182,5032.023245911492,0.0002318193,51943,35575800
ball_cropped_1,0.39908662,1.2018267,0.030914217,0.51076657,3778.643291194803,0.00025408066,54326,37354700
ball_cropped_2,0.36229905,1.2754018,0.1860691,0.56065375,9269.07365118526,0.0004292248,54157,37368500
ball_cropped_3,0.3928046,1.2143908,0.041310124,0.48808762,8063.55161100626,0.00031318827,51885,38153400
ball_cropped_4,0.2818377,1.4363246,0.029963627,0.7968061,6065.065841719712,7.889684e-05,51083,37306900
ball_cropped_5,0.27269447,1.4546111,0.1579109,0.7130105,4675.681657310575,0.00019591712,52129,36687700
car_cropped_1,0.36389214,1.2722158,0.031495813,0.6304411,12096.004102732753,0.00025542875,55799,36546300
car_cropped_2,0.18316095,1.6336782,0.0400228,1.0653675,15927.688988772687,0.00010013632,56451,35838300
car_cropped_3,0.18005905,1.6398817,0.03626109,1.0570412,9435.281155863311,8.8455556e-05,55972,36212300
car_cropped_4,0.3066507,1.3866988,0.029720843,0.6695027,10172.776640556694,0.00016290249,55494,37310800
car_cropped_5,0.2704956,1.4590089,0.032777503,0.7731296,13764.822631548177,0.00019403931,55970,38328800
cat_cropped_1,0.35372174,1.2925565,0.03356133,0.5876813,6358.9770636795,0.00010973577,48898,37852400
cat_cropped_2,0.4156442,1.1687117,0.025456045,0.48628092,9576.092484316847,0.0001797848,44525,37746100
cat_cropped_3,0.2316654,1.536669,0.041901812,0.8644614,16693.696681525093,0.000143516,52337,34780100
cat_cropped_4,0.36017475,1.2796506,0.024880504,0.6356634,7725.103004156437,0.00037905524,46000,42370800
cat_cropped_5,0.45712703,1.085746,0.030064192,0.42855263,14231.299243432746,0.0005983728,49834,36312400
dolphin_cropped_1,0.29480925,1.4103816,0.03426617,0.72222936,24447.970803211094,0.0003996707,56263,36272000
dolphin_cropped_2,0.25468978,1.4906204,0.05863737,0.9258894,17154.936203317106,0.00059425633,56851,36551400
dolphin_cropped_3,0.24023613,1.5195277,0.23146233,0.92695737,20036.086783707142,0.00011892098,54629,38165400
dolphin_cropped_4,0.25293624,1.4941275,0.031332493,0.83571506,10647.67754965648,0.00015708052,53958,41348700
dolphin_cropped_5,0.2823417,1.4353166,0.17416994,0.79478645,20053.992807164672,0.00013143064,51388,41434200
face_cropped_1,0.27884343,1.4423131,0.031828772,0.68656623,10852.394674386014,0.00011886929,51549,39303100
face_cropped_2,0.2726206,1.4547588,0.032527357,0.77298665,10036.047089181026,0.00010274886,52561,37526800
face_cropped_3,0.35319003,1.2936199,0.027619502,0.54112065,5826.833260500716,0.00022209926,51987,38516200
face_cropped_4,0.28873962,1.4225208,0.03164319,0.64261436,9885.849239857867,0.00016946359,51293,39053000
face_cropped_5,0.2697445,1.4605111,0.033117168,0.70155364,13472.108278988482,0.0001333754,52288,37934200
lotus_cropped_1,0.27247927,1.4550415,0.02982073,0.77381235,4884.959826766106,0.000120553865,52058,37193000
lotus_cropped_2,0.46886036,1.0622793,0.025164789,0.4588101,9869.492830617935,0.00035006177,53993,37547600
lotus_cropped_3,0.26829073,1.4634186,0.28765014,0.9239672,12817.387400600594,0.0001553304,54885,37371300
lotus_cropped_4,0.2515102,1.4969795,0.031473424,0.8815477,7022.260917092324,0.00010210142,54350,37466600
lotus_cropped_5,0.31741482,1.3651704,0.04207457,0.6422853,6921.1387738038175,0.00019133902,54293,38755500
pickles_cropped_1,0.20836441,1.5832713,0.14648688,0.8302997,9263.708766980446,0.0003102558,45131,60840400
pickles_cropped_2,0.25566712,1.4886658,0.15790446,0.7398612,10370.454839184415,0.0004532881,42378,49586600
pickles_cropped_3,0.2672833,1.4654335,0.10393218,0.64807445,8867.117308476852,0.00030989913,32479,62339400
pickles_cropped_4,0.2416089,1.5167823,0.123389624,0.75906605,10202.394936089127,0.0002667474,34681,66236400
pickles_cropped_5,0.20259327,1.5948133,0.14393838,0.82278293,11621.918834167998,0.00020230979,35127,56843200
