airplane_query (42809700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.5339284,0.93214315,0.049169566,0.32565212,36936700
airplane_2,0.55765194,0.8846961,0.035728734,0.32619932,37627000
airplane_3,0.5272377,0.9455245,0.03538165,0.30468082,39987200
airplane_4,0.4938784,1.0122433,0.04541362,0.32315412,40014000
airplane_5,0.4996696,1.0006608,0.117579244,0.34128094,38296200
ball_1,0.3307984,1.3384032,0.16046359,0.5939887,37584700
ball_2,0.2850393,1.4299214,0.4551089,0.69244826,41834300
ball_3,0.3432763,1.3134474,0.16203055,0.5175917,38290100
ball_4,0.23288673,1.5342267,0.16636759,0.88595194,38684600
ball_5,0.22874497,1.5425103,0.31216776,0.7445632,42238500
car_1,0.25636533,1.4872695,0.17198956,0.7757653,42228600
car_2,0.18635945,1.6272812,0.16524597,0.96736443,38459500
car_3,0.19424887,1.6115023,0.16439842,0.9664915,38931200
car_4,0.26775867,1.4644827,0.16187496,0.68796635,38707100
car_5,0.32699472,1.3460106,0.16207378,0.61470294,37054000
cat_1,0.3398241,1.3203518,0.16205226,0.54713947,37079100
cat_2,0.33439666,1.3312067,0.16234785,0.59043187,38077300
cat_3,0.14987169,1.7002566,0.17075667,1.0895313,38605500
cat_4,0.25450587,1.4909883,0.16413859,0.8221771,38609900
cat_5,0.29608345,1.4078331,0.1664432,0.64084643,36573100
dolphin_1,0.1525341,1.694932,0.16595267,1.0639684,44084600
dolphin_2,0.13768357,1.724633,0.17058979,1.3747694,38167800
dolphin_3,0.38026816,1.2394636,0.175966,0.44140765,40735500
dolphin_4,0.21546707,1.5690659,0.20282994,0.79224414,38848700
dolphin_5,0.4083637,1.1832726,0.111483514,0.43275928,47411000
face_1,0.2551658,1.4896685,0.16244629,0.693437,40019800
face_2,0.22211683,1.5557663,0.16406508,0.8743965,37781000
face_3,0.3152015,1.369597,0.16310227,0.6266673,36192800
face_4,0.23388886,1.5322223,0.16403009,0.7591914,40106600
face_5,0.24662626,1.5067475,0.16295087,0.7186809,38000500
lotus_1,0.21227954,1.5754409,0.1631745,0.9329311,37088700
lotus_2,0.3777731,1.2444538,0.16423436,0.5378744,37388700
lotus_3,0.16723193,1.6655362,0.630542,1.3048811,36850800
lotus_4,0.16413444,1.6717312,0.1639988,1.0429547,37564100
lotus_5,0.26278445,1.474431,0.16631474,0.8202385,36890500
pickles_1,0.06533647,1.8693271,0.27191734,1.5232309,100805000
pickles_2,0.05265647,1.894687,0.3329787,1.6354707,110288300
pickles_3,0.09665431,1.8066914,0.2525118,1.2754244,88489600
pickles_4,0.09190863,1.8161826,0.2832723,1.3418891,94125500
pickles_5,0.11988778,1.7602246,0.32093525,1.2057083,69587500
